price,region,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options
1148,reno / tahoe,apartment,1078,3,2.0,1,1,0,0,0,0,w/d in unit,carport
1200,reno / tahoe,condo,1001,2,2.0,0,0,0,0,0,0,w/d hookups,carport
1813,reno / tahoe,apartment,1683,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage
1095,reno / tahoe,apartment,708,1,1.0,1,1,1,0,0,0,w/d in unit,carport
289,reno / tahoe,apartment,250,0,1.0,1,1,1,1,0,1,laundry on site,na
1093,reno / tahoe,apartment,720,1,1.0,1,1,1,0,0,0,laundry in bldg,na
935,reno / tahoe,apartment,661,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
1525,reno / tahoe,apartment,1053,2,2.0,1,1,0,0,0,0,w/d in unit,carport
1295,reno / tahoe,condo,930,2,2.0,0,0,0,0,0,0,w/d in unit,carport
1086,reno / tahoe,apartment,720,1,1.0,0,0,1,0,0,0,na,na
1159,reno / tahoe,apartment,1181,3,2.0,1,1,1,0,0,0,w/d in unit,carport
1349,reno / tahoe,apartment,766,1,1.0,1,1,0,0,0,0,w/d in unit,na
1449,reno / tahoe,apartment,764,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking
1295,reno / tahoe,apartment,951,2,2.0,0,0,0,0,0,0,w/d in unit,off-street parking
982,reno / tahoe,apartment,919,2,2.0,1,1,0,0,0,0,w/d in unit,carport
1895,reno / tahoe,apartment,1193,2,2.0,1,1,0,0,0,0,w/d in unit,attached garage
1495,reno / tahoe,duplex,1192,3,1.0,1,1,0,0,0,0,w/d hookups,detached garage
1899,reno / tahoe,house,1600,3,2.0,0,0,0,0,0,0,w/d in unit,attached garage
1075,reno / tahoe,apartment,890,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking
1495,reno / tahoe,apartment,1450,2,2.0,0,0,1,0,0,0,w/d in unit,attached garage
995,reno / tahoe,condo,654,1,1.0,0,0,1,0,0,0,laundry on site,carport
2295,reno / tahoe,apartment,1347,3,2.0,1,1,0,0,0,0,w/d in unit,attached garage
1325,reno / tahoe,apartment,710,1,1.0,1,1,0,0,0,0,w/d in unit,carport
1392,reno / tahoe,apartment,987,2,2.0,1,1,1,0,0,0,na,carport
895,reno / tahoe,house,582,1,1.0,0,0,0,0,0,0,no laundry on site,off-street parking
1975,reno / tahoe,apartment,2128,4,3.0,0,0,0,0,0,0,w/d hookups,attached garage
1050,reno / tahoe,duplex,720,2,1.0,0,0,0,0,0,0,w/d hookups,attached garage
1595,reno / tahoe,house,1440,2,2.0,1,1,0,0,0,0,w/d in unit,attached garage
1720,reno / tahoe,apartment,1256,3,2.0,1,1,0,0,0,0,w/d in unit,na
1075,reno / tahoe,apartment,800,2,1.0,0,0,1,0,0,0,na,off-street parking
1045,reno / tahoe,apartment,886,2,1.5,1,0,1,0,0,0,laundry on site,off-street parking
1195,reno / tahoe,house,844,2,1.0,0,0,0,0,0,0,w/d hookups,off-street parking
875,reno / tahoe,apartment,756,2,1.0,0,0,1,0,0,0,laundry on site,off-street parking
875,reno / tahoe,apartment,550,0,1.0,0,0,0,0,0,0,laundry on site,na
1325,reno / tahoe,apartment,708,1,1.0,1,1,0,0,0,0,w/d in unit,carport
1395,reno / tahoe,duplex,988,2,1.0,1,1,0,0,0,0,w/d hookups,detached garage
1229,reno / tahoe,apartment,790,1,1.0,0,0,1,0,0,0,na,na
775,reno / tahoe,apartment,600,1,1.0,0,0,1,0,0,0,laundry on site,off-street parking
1125,reno / tahoe,apartment,856,1,1.0,1,0,1,0,0,0,laundry on site,off-street parking
1431,reno / tahoe,apartment,1040,2,2.0,0,0,1,0,0,0,na,na
800,reno / tahoe,apartment,400,1,1.0,1,1,1,0,0,0,na,na
975,reno / tahoe,apartment,650,1,1.0,0,0,0,0,0,0,laundry on site,na
1595,reno / tahoe,house,1180,1,2.0,0,0,0,0,0,0,w/d in unit,attached garage
1000,reno / tahoe,apartment,600,1,1.0,1,1,1,0,0,0,laundry on site,carport
950,reno / tahoe,apartment,650,1,1.0,0,0,0,0,0,0,laundry on site,na
1395,reno / tahoe,duplex,988,2,1.0,1,1,0,0,0,0,w/d hookups,detached garage
1400,sacramento,house,1010,2,1.0,1,1,1,1,0,0,w/d in unit,attached garage
1995,reno / tahoe,house,1672,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage
1040,reno / tahoe,apartment,850,2,1.0,0,0,1,0,0,0,laundry on site,off-street parking
825,reno / tahoe,apartment,483,2,1.0,0,0,0,0,0,0,laundry on site,off-street parking
1095,reno / tahoe,apartment,870,2,1.0,0,0,0,0,0,0,w/d in unit,off-street parking
1475,reno / tahoe,apartment,1066,2,2.0,1,1,0,0,0,0,w/d in unit,na
1195,reno / tahoe,house,1076,2,1.5,0,0,0,0,0,0,w/d hookups,off-street parking
1995,reno / tahoe,house,1444,3,2.0,1,1,0,0,0,0,w/d in unit,attached garage
1795,sacramento,apartment,869,1,1.0,1,1,0,0,0,1,w/d in unit,na
1595,reno / tahoe,house,1048,3,2.0,1,1,0,0,0,0,w/d in unit,attached garage
925,reno / tahoe,apartment,703,2,1.0,0,0,0,0,0,0,laundry on site,off-street parking
1140,reno / tahoe,apartment,783,2,1.0,0,0,0,0,0,0,laundry on site,off-street parking
1150,reno / tahoe,apartment,850,2,1.0,0,0,1,0,0,0,laundry on site,off-street parking
2100,reno / tahoe,apartment,1944,3,2.5,1,1,1,0,0,0,w/d in unit,attached garage
1125,reno / tahoe,apartment,420,1,1.0,0,0,0,0,0,1,laundry on site,off-street parking
2195,reno / tahoe,house,2523,4,2.5,1,1,0,0,0,0,w/d in unit,attached garage
1995,reno / tahoe,house,2172,3,3.5,0,0,0,0,0,0,w/d hookups,attached garage
1795,reno / tahoe,house,1996,4,2.0,0,0,0,0,0,0,w/d hookups,attached garage
1415,reno / tahoe,apartment,796,1,1.0,1,1,1,0,0,0,w/d in unit,detached garage
1095,reno / tahoe,apartment,435,0,1.0,0,0,1,0,0,0,laundry in bldg,off-street parking
820,reno / tahoe,apartment,650,1,1.0,1,1,1,0,0,0,laundry on site,na
2595,sacramento,townhouse,1317,2,2.5,1,1,0,0,0,1,w/d in unit,attached garage
1423,reno / tahoe,apartment,1035,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking
1695,reno / tahoe,townhouse,1226,3,2.5,0,0,1,0,0,0,w/d in unit,attached garage
1625,reno / tahoe,condo,1276,3,1.5,0,0,1,0,0,0,w/d hookups,carport
1635,reno / tahoe,apartment,1100,2,2.0,1,1,0,0,0,0,w/d in unit,na
1684,reno / tahoe,apartment,1002,2,2.0,1,1,1,1,0,0,w/d in unit,carport
1050,reno / tahoe,apartment,1074,2,1.5,1,0,1,0,0,0,w/d in unit,off-street parking
1500,reno / tahoe,apartment,1636,2,2.0,0,0,1,0,0,0,w/d in unit,na
1195,reno / tahoe,apartment,900,2,1.0,0,0,0,0,0,0,w/d in unit,off-street parking
995,reno / tahoe,duplex,600,1,1.0,1,1,0,0,0,0,w/d in unit,carport
1593,reno / tahoe,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport
510,reno / tahoe,house,675,3,3.0,1,1,1,0,0,0,na,na
1558,reno / tahoe,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1253,reno / tahoe,apartment,790,1,1.0,1,1,1,0,0,0,w/d in unit,carport
1344,reno / tahoe,apartment,739,1,1.0,0,0,1,0,0,0,na,na
1100,reno / tahoe,condo,850,2,1.0,0,0,0,0,0,0,w/d in unit,off-street parking
1099,reno / tahoe,townhouse,1100,2,1.5,1,1,0,1,0,1,laundry in bldg,carport
1695,reno / tahoe,house,1902,3,2.0,1,1,0,0,0,0,w/d in unit,attached garage
1239,reno / tahoe,apartment,790,1,1.0,1,1,1,0,0,0,w/d in unit,carport
1225,reno / tahoe,duplex,800,1,1.0,1,1,0,0,0,0,w/d in unit,street parking
1125,reno / tahoe,apartment,1939,5,2.5,1,0,1,0,0,0,na,na
1464,reno / tahoe,apartment,1171,2,2.0,0,0,1,0,0,0,na,na
2300,reno / tahoe,house,2000,3,2.0,1,1,0,0,0,1,w/d in unit,attached garage
3000,reno / tahoe,house,2400,3,3.0,0,1,1,0,0,0,w/d in unit,attached garage
2095,reno / tahoe,house,1870,4,2.0,0,1,1,0,0,0,w/d in unit,attached garage
1500,reno / tahoe,house,950,2,1.0,1,0,1,0,0,0,w/d in unit,carport
982,reno / tahoe,apartment,960,2,1.0,1,1,0,0,0,0,w/d in unit,street parking
988,reno / tahoe,apartment,1400,3,2.5,1,1,1,0,0,0,na,na
1557,reno / tahoe,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport
2030,reno / tahoe,apartment,1713,3,2.5,0,0,1,0,0,0,na,na
274,reno / tahoe,apartment,220,0,1.0,0,0,0,0,0,1,laundry on site,no parking
1319,reno / tahoe,apartment,1010,1,1.0,1,1,0,0,1,0,w/d in unit,carport
1699,reno / tahoe,apartment,1304,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking
1460,reno / tahoe,apartment,1167,2,2.0,0,0,1,0,0,0,na,na
980,reno / tahoe,apartment,580,1,1.0,1,1,0,1,0,0,laundry in bldg,carport
968,reno / tahoe,apartment,1459,2,2.0,1,1,1,0,0,1,na,na
1549,reno / tahoe,house,1274,4,2.0,1,1,1,0,0,0,w/d in unit,attached garage
1775,reno / tahoe,apartment,1683,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage
1120,reno / tahoe,apartment,750,1,1.0,1,1,1,0,0,0,laundry on site,carport
2050,reno / tahoe,apartment,1166,2,2.0,1,1,0,0,0,0,w/d in unit,detached garage
850,reno / tahoe,apartment,794,1,1.0,0,0,1,0,0,0,na,na
1300,reno / tahoe,apartment,614,1,1.0,1,1,0,0,0,0,w/d in unit,detached garage
1148,reno / tahoe,apartment,1219,3,2.0,1,1,0,0,0,0,w/d in unit,street parking
1472,reno / tahoe,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1499,reno / tahoe,apartment,1034,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1295,reno / tahoe,apartment,957,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1483,reno / tahoe,apartment,987,2,2.0,1,1,1,0,0,0,na,carport
1200,reno / tahoe,apartment,850,2,1.0,0,0,1,0,0,0,na,na
1295,reno / tahoe,apartment,957,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1899,reno / tahoe,house,1417,3,2.0,1,1,1,0,0,0,w/d hookups,detached garage
1800,reno / tahoe,apartment,1438,3,2.0,1,1,0,0,0,0,w/d in unit,carport
1360,reno / tahoe,apartment,900,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1177,reno / tahoe,apartment,739,1,1.0,0,0,1,0,0,0,na,na
1399,reno / tahoe,apartment,823,1,1.0,1,1,0,0,0,0,w/d in unit,carport
1599,reno / tahoe,apartment,978,2,2.0,1,1,0,0,0,0,w/d in unit,carport
1799,reno / tahoe,apartment,1321,3,2.0,1,1,1,0,0,0,w/d in unit,carport
1379,reno / tahoe,apartment,940,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1750,reno / tahoe,apartment,1096,2,2.0,1,1,0,0,0,0,w/d in unit,carport
1695,sacramento,house,1100,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage
982,reno / tahoe,apartment,755,2,1.0,1,1,0,1,0,0,w/d in unit,na
1439,reno / tahoe,apartment,1040,2,2.0,0,0,1,0,0,0,na,na
1163,reno / tahoe,apartment,1000,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1827,reno / tahoe,apartment,1683,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage
1135,reno / tahoe,apartment,665,1,1.0,1,1,1,0,0,0,w/d in unit,carport
1375,reno / tahoe,apartment,472,0,1.0,1,1,0,1,0,0,laundry on site,na
1485,reno / tahoe,apartment,1117,3,2.0,1,1,1,0,0,0,laundry in bldg,attached garage
1745,reno / tahoe,apartment,1098,3,2.0,1,1,0,0,0,0,w/d in unit,carport
984,reno / tahoe,apartment,984,2,2.0,1,1,1,0,0,0,laundry on site,na
2150,reno / tahoe,apartment,1283,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking
1410,reno / tahoe,apartment,1020,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage
1429,reno / tahoe,apartment,1121,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1100,reno / tahoe,apartment,1425,2,2.0,1,1,1,0,0,0,na,na
274,reno / tahoe,apartment,220,0,1.0,0,0,0,0,0,1,laundry on site,no parking
1751,reno / tahoe,apartment,1151,3,2.0,1,1,1,0,0,0,w/d in unit,carport
1595,reno / tahoe,apartment,860,2,1.0,1,1,1,0,0,0,w/d in unit,carport
1250,visalia-tulare,house,1147,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage
1230,reno / tahoe,apartment,648,1,1.0,1,1,1,0,0,0,w/d in unit,carport
2040,reno / tahoe,apartment,1500,3,2.0,1,1,1,0,0,0,w/d in unit,attached garage
1309,reno / tahoe,apartment,739,1,1.0,1,1,0,0,0,0,w/d in unit,na
1100,reno / tahoe,apartment,1170,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking
750,reno / tahoe,apartment,400,0,1.0,0,0,1,0,0,0,laundry in bldg,off-street parking
1299,reno / tahoe,apartment,750,1,1.0,1,1,0,0,0,0,w/d in unit,na
1195,reno / tahoe,apartment,655,1,1.0,0,0,1,0,0,0,na,na
1737,reno / tahoe,apartment,1151,3,2.0,1,1,1,0,0,0,w/d in unit,carport
2145,reno / tahoe,apartment,1380,3,2.0,1,1,0,0,0,0,w/d in unit,na
